date,ENG,PAR,MIL,ISB,DNP,NML,ORO,FOL,TRM,SCC,CFW,PNF,MCR,NHG,SHA
2003-10-01,0.4055149017810877,0.7898537384283695,0.6596777770042555,0.0605062977281281,0.3486660988119762,0.3650048345379204,0.4106349253362603,0.7777807309363431,0.057508447253849175,0.006209313927034508,,0.28046900616631004,,0.0,0.34460261816560234
2003-10-02,0.4184499863674063,0.8028971946592968,0.6195787572011797,0.05500572520738918,0.12744704354791403,0.22441684802929557,0.38675584348908426,0.6306896552043084,0.05463302489115672,0.002069771309011503,,0.25080901850122717,,0.060856906286728546,0.3461224768167297
2003-10-03,0.44690717245730716,0.7840566467701797,0.7124911201595255,0.057363113430563,0.06579583142514261,0.3623851826153994,0.26949249513241597,0.6436806049128356,0.05463302489115672,0.006209313927034508,,0.17900062731207914,,0.023908070326929074,0.25979450543269755
2003-10-04,0.3789979783791346,0.8391290175229834,0.5907270234404303,0.052648336984215366,0.10050701808250133,0.2637116268671099,0.24134929152681553,0.5678302211307892,0.05463302489115672,0.004139542618023006,,0.03642454625536494,,0.09780574224652802,0.37216272170604453
2003-10-05,0.5368060103322213,0.8057957404883916,0.2322809073958646,0.0699358506208234,0.01398809014550276,0.3388083153127108,0.40850286445704825,0.5678302211307892,0.06182158079788787,0.008279085236046013,,0.08897996299524866,,0.002173460938811734,0.3465277724570303
2003-10-06,0.466309799336785,0.8420275633520782,0.3193251211147359,0.07190034080680158,0.076675457093867,0.42351039414088854,0.3673540894882537,0.3021443464467152,0.058946158435195406,0.002069771309011503,,0.352797748016249,,0.01086730469405867,0.40985521625400223
2003-10-07,0.5665567048807539,0.8550710195830055,0.3555120414248285,0.053827031095802266,0.18236324930433231,0.3973138749156789,0.5050852222853587,0.3406981326784736,0.058946158435195406,0.006209313927034508,,0.39286474889715045,,0.0065203828164352015,0.3686163848534141
2003-10-08,0.5051150530957407,0.807245013402939,0.20440719850836084,0.059327603616541186,0.020205019099059546,0.3527797922328225,0.17482899209539643,0.3754803528658208,0.05319531370981049,0.07451176712441411,,0.2976405779724107,,0.019561148449305607,0.3746958194579234
2003-10-09,0.5626761795048585,0.7826073738556321,0.3481768548754854,0.05029094876104154,0.002072309651185594,0.2418811941794353,0.5647829269032989,0.3268690571822994,0.05463302489115672,0.037255883562207055,,0.3704896704831406,,0.04998960159266989,0.3238312166001956
2003-10-10,0.4824786550696833,0.7724624634537998,0.3716494518333834,0.08447307799706197,0.36109995671908984,0.3457940537727667,0.3820653095548175,0.3914047428311124,0.057508447253849175,0.016558170472092026,,0.26017533039546387,,0.002173460938811734,0.3562548678242452
2003-10-11,0.5633229337341744,0.850723200839363,0.6362051800463575,0.05775601146775865,0.1492062948853628,0.2654580614821239,0.2884678369574041,0.24976148471878262,0.05607073607250296,0.010348856545057515,,0.14049467841355048,,0.015214226571682136,0.4459265282407574
2003-10-12,0.7644634990514283,0.8260855612920561,0.4063693348336073,0.0605062977281281,0.004144619302371188,0.3082457095499662,0.46478927166824896,0.3339931263772982,0.05319531370981049,0.02069771309011503,,0.27370444757602796,,0.032601914082176005,0.4192783398909916
2003-10-13,0.44561366399867525,0.7724624634537998,0.5447598543978802,0.07386483099277977,0.0777116119194598,0.3475404883877807,0.5076436953404132,0.4014622522828754,0.06038386961654163,0.010348856545057515,,0.22791358942642634,,0.008693843755246936,0.35463368526304273
2003-10-14,0.4999410192612133,0.8304333800356986,0.7124911201595255,0.06207788987691065,0.1543870690133268,0.386835267225595,0.25968501508804004,0.3189068621996536,0.038818201896348194,0.016558170472092026,,0.3569605533025764,,0.030428453143364273,0.3812818736128085
2003-10-15,0.5044682988664249,0.8014479217447491,0.5325345434823086,0.05461282717019355,0.16578477209484754,0.42351039414088854,0.4470931663707881,0.3386028182093562,0.04025591307769442,0.024837255708138033,,0.2201083295145624,,0.002173460938811734,0.31542133206395767
2003-10-16,0.5439203068546965,0.8260855612920561,0.634249130299866,0.09075944659219216,0.015542322383891959,0.4191443076033536,0.4189499627651877,0.3205831137749474,0.03738049071500197,0.018627941781103528,,0.19773325110055257,,0.026081531265740806,0.33568611407898874
2003-10-17,0.5930736282827072,0.7985493759156543,0.8856015227240226,0.07700801529034486,0.45590812326083074,0.3134850133950082,0.5146794962418132,0.426606025912283,0.051757602528464265,0.01448839916308052,,0.17900062731207914,,0.013040765632870403,0.3905023494296476
2003-10-18,0.5064085615543726,0.8159406508902239,0.9716677115696483,0.0648281761372801,0.19842364910102067,0.31261179608750117,0.5319491893634317,0.3821853591669961,0.04744446898442557,0.02069771309011503,,0.21490482290665316,,0.030428453143364273,0.11206424454312149
2003-10-19,0.5322787307270098,0.7691315825745731,0.9643325250203052,0.061684991839715014,-0.06514046146062502,0.2401347595644213,0.26821325860488865,0.31932592509347707,0.05319531370981049,0.022767484399126535,,0.23103569339117194,,0.013040765632870403,0.3652726958209341
2003-10-20,0.6053619586397098,0.7391291864192081,0.9349917788229326,0.07975830155071433,0.02642194805261633,0.3475404883877807,0.5939921609485054,0.2656858746840741,0.05463302489115672,0.026907027017149542,,0.2237507841400989,,0.015214226571682136,0.36669123056198616
2003-10-21,0.4889461973628426,0.7942015571720118,0.9085851072452976,0.0656139722116714,0.3222441507593599,0.32745649031512,0.3407033284981018,0.45258792532933756,0.05607073607250296,0.02069771309011503,,0.14153537973513233,,0.002173460938811734,0.38938778641882094
