date,bt,qft
2003-10-01,0.34219577111355026,0.17664509213170496
2003-10-02,0.2084159393071611,0.1783399041819231
2003-10-03,0.1987098666041674,0.07078262852824851
2003-10-04,0.19411167524804995,0.04723761627876555
2003-10-05,0.1900274796449791,0.2184753848120691
2003-10-06,0.18493139337938402,0.1824226961088697
2003-10-07,0.1784540341019963,0.32663118818336234
2003-10-08,0.1748289920953964,0.0
2003-10-09,0.17537736481622002,0.3894055620870789
2003-10-10,0.1772316531419946,0.2048336564128229
2003-10-11,0.1800957431116138,0.10837209384579027
2003-10-12,0.18353549658315405,0.28125377508509486
2003-10-13,0.18787300014782118,0.31977069519259205
2003-10-14,0.1929297779987072,0.06675523708933279
2003-10-15,0.1981999634931485,0.2488932028776396
2003-10-16,0.2035838389366437,0.215366123828544
2003-10-17,0.20876991445453666,0.30590958178727656
2003-10-18,0.21343737267485222,0.31851181668857953
2003-10-19,0.21760504721512464,0.05060821138976396
2003-10-20,0.22185878965077765,0.3721333712977277
2003-10-21,0.22677733423377888,0.11392599426432293
2003-10-22,0.2321204029480424,0.2064445199058971
2003-10-23,0.23765483499868062,0.1576292520072522
2003-10-24,0.24345798988547684,0.23732173837686327
2003-10-25,0.24927115169786762,0.4033526834289719
2003-10-26,0.2546565714967417,0.2647134586793384
2003-10-27,0.2594558646329153,0.09254738652501088
2003-10-28,0.2636685816673037,0.3746704455688143
2003-10-29,0.2672768355016036,0.14122602895544462
2003-10-30,0.2703526390461889,0.036664127560360915
2003-10-31,0.2735716685738988,0.36711262562935265
2003-11-01,0.2777853206892095,0.26589020350988907
2003-11-02,0.2829720079986012,0.22467168734181198
2003-11-03,0.28833833430180467,0.08775720479121885
2003-11-04,0.2933133235922589,0.384468829909284
2003-11-05,0.29779822432300385,0.20153043358848205
2003-11-06,0.3017687817858835,0.07645881818635208
2003-11-07,0.305239886559321,0.3868270748329433
2003-11-08,0.3081929948985346,0.13890017147225353
2003-11-09,0.310561607064315,0.4985554965966963
2003-11-10,0.3122572923583871,0.2653179998201847
2003-11-11,0.31318851887711524,0.2358171575200138
2003-11-12,0.3135072305790765,0.0013981612805581967
2003-11-13,0.31409990154159184,0.3476917953658599
2003-11-14,0.3157688458129304,0.12833943532696068
2003-11-15,0.3183378954222812,0.20614908086390804
2003-11-16,0.3218178778656701,0.40031114192348555
2003-11-17,0.3257464500675475,0.04843023423418502
2003-11-18,0.3295915905885202,0.19596141613727508
2003-11-19,0.33367762322128164,0.1758849269104225
2003-11-20,0.3377459709406815,0.3170099250653702
2003-11-21,0.34140885964548495,0.18009323140980737
2003-11-22,0.3446154622893946,0.1346718233574969
2003-11-23,0.34733831090478806,0.15092431656709154
2003-11-24,0.3495634025473014,0.125672967429087
2003-11-25,0.35137163110301795,0.024510701902084375
2003-11-26,0.3529373438649349,0.1225122321993748
2003-11-27,0.35433120669129503,0.19765935493673104
2003-11-28,0.3555045363862282,0.23848762456227718
2003-11-29,0.35638932783692245,0.17300138847145474
2003-11-30,0.357012358061085,0.0067172279325080075
2003-12-01,0.35785135010237673,0.2442426421871347
2003-12-02,0.35963006434218026,0.25824117845350125
2003-12-03,0.362539821993207,0.22505615631766185
2003-12-04,0.36652508719548627,0.35411148997822095
2003-12-05,0.3713529993542935,0.07424772440104599
2003-12-06,0.3780950160282233,1.3522855935403588
2003-12-07,0.390143552312978,1.6815800040174695
2003-12-08,0.4077152794213748,0.4436166296480371
2003-12-09,0.4268015032775795,0.31067835484190365
2003-12-10,0.4456838393965057,0.7497626955777474
2003-12-11,0.4652518342096057,0.6152766193751125
2003-12-12,0.4853710812163081,0.4201151741850925
2003-12-13,0.5057744669935864,0.8118391563595231
2003-12-14,0.5290519612393544,2.0918904775761433
2003-12-15,0.5569351194187547,0.6647357643698081
2003-12-16,0.5863181191928517,0.5063630814033759
2003-12-17,0.6147494767726378,0.6634210203150472
2003-12-18,0.642268422252125,0.4378336191567508
2003-12-19,0.6685541687462605,0.4104818422230093
2003-12-20,0.693289709245726,0.33905416846879755
2003-12-21,0.7169716714636974,0.702767668003674
2003-12-22,0.7402908537251026,0.42914453852276224
2003-12-23,0.7630875102994428,0.4619946708958593
2003-12-24,0.7876471540953818,2.239239676122109
2003-12-25,0.8176657656472046,1.457456398560082
2003-12-26,0.8501086040133863,0.80735552348614
2003-12-27,0.8803638803066397,0.45665149704730046
