date,ENG,PAR,MIL,ISB,DNP,NML,ORO,FOL,TRM,SCC,PNF,NHG,SHA
2015-01-10,0.07345605948001162,0.3232383092668204,0.03572211513772081,0.051812899040860234,0.1038158020140737,0.39687844038304415,0.3665218170357795,0.4203193895569376,0.0879956295580506,0.03973814109404077,0.10239049066782838,0.014049519582811571,0.38758298089281695
2015-01-11,0.07834204386666696,0.313547939040272,0.036913596762069324,0.05230806435307723,0.1121273117935691,0.3862891855017986,0.3625796749830296,0.4126940168203508,0.08865747334653307,0.03983943349307722,0.10143707448183933,0.012909840081552305,0.3834815292486796
2015-01-12,0.0830096415740307,0.31129232514629895,0.03789723817081198,0.05290192255787528,0.1205613640156492,0.3754834422280043,0.36123378115952526,0.40646484559032925,0.08929053114969308,0.03991924531841146,0.10034503004447329,0.011589640852941813,0.37850110174361373
2015-01-13,0.08727187826366062,0.3087065890172349,0.03865627269817606,0.05347467376063743,0.12928304572172802,0.3702441383829624,0.359405637550839,0.4002062994373488,0.08984476059788024,0.03997164742401976,0.09909980580856532,0.0108673046940586,0.3755835121210597
2015-01-14,0.09107813958466122,0.3071501800636056,0.03917293576997729,0.05398801148736539,0.13844073415210892,0.37116510976197364,0.35698559128087876,0.3939746087859138,0.09030976030576963,0.03999232304712795,0.09768354550725644,0.010916207565181864,0.37512138011776586
2015-01-15,0.09434243195693078,0.3067502374009494,0.039432761987735564,0.0544418713707405,0.1475008305043487,0.3737895924454274,0.35401662114814647,0.38709215075135694,0.09068207349873834,0.03958525719254484,0.0966629326074539,0.011013318187060746,0.37452951585686445
2015-01-16,0.09694700120879622,0.30616000147528294,0.03732183589357467,0.05484398076915684,0.15592155606092853,0.3770430180037898,0.35048164499716844,0.3795011453268617,0.09096558901944429,0.03907768981325618,0.09608080724502398,0.011093461409251066,0.37365490162748577
2015-01-17,0.09875783629750817,0.3057965849695155,0.0352088954368468,0.05521137737409476,0.16366090531227703,0.3799771909744274,0.34781805081470546,0.37116753568127286,0.09117060359792363,0.03870658767283648,0.09545148252888352,0.011133836238120995,0.3721733565923059
2015-01-18,0.0998901273538756,0.305884220691067,0.03537668782916302,0.05556325020129349,0.17077028007955955,0.38257123675084237,0.3461046114155007,0.36436122614858557,0.09131115034541337,0.03848857373980457,0.09477113148440736,0.010625237349816494,0.369880240901084
2015-01-19,0.10085063713670749,0.3061283269363888,0.03589478122412631,0.05590033185091665,0.17730078922405546,0.3848289382126195,0.34365031725248096,0.35972208736173567,0.09139335423027226,0.03824973638960435,0.09395037865705103,0.009670563140821747,0.36681922078970347
2015-01-20,0.10237614496014147,0.3064306228500626,0.03685065975562801,0.05621190596576216,0.18330238433132204,0.3867763560344951,0.3401118989855369,0.3550497683557788,0.09129965650774897,0.037991533848847354,0.09295259003673523,0.008521732817154772,0.3627883746701719
2015-01-21,0.10424141162326094,0.3067063582461251,0.038241647312122484,0.056496316109174535,0.1888238385785399,0.3884209321048002,0.3355861469763597,0.3495479519421319,0.09040916645508121,0.037715542578735245,0.09180966952466439,0.007221323969201981,0.35746004045540236
2015-01-22,0.10572173165136102,0.30693895677331434,0.039745760687950805,0.05675384736574282,0.1939070672789475,0.38974985252270355,0.3302980377131394,0.34349492264404613,0.0893952633276991,0.03741402702628616,0.09054472772684459,0.0065203828164352,0.35089732074446384
2015-01-23,0.10664711132466283,0.30709630261756093,0.0412557966011898,0.05698481291928868,0.19860194540566473,0.39075218581629384,0.32430714281284556,0.33904970443308774,0.08828019572283778,0.037255883562207,0.08934778667402082,0.00655094711088724,0.34322836445009847
2015-01-24,0.1048505516384387,0.30678577757821734,0.04300411863631313,0.05719219962583152,0.20293276975772878,0.39141783436935884,0.3187650756564368,0.33589263672770275,0.0877003820621199,0.037255883562207,0.08823688202707251,0.0066900146506440215,0.33449310635449603
2015-01-25,0.0996001513146531,0.3057965849695155,0.045180986668025495,0.057387347406572475,0.20689574850120068,0.3917522257819171,0.313785614033171,0.3327684041757325,0.08770846918751497,0.0372587941781103,0.08701861907134384,0.007018943767000069,0.324726999488602
