date,bt,qft
2003-10-01,0.6582114486903079,0.050019581043987404
2003-10-02,0.664069079730694,0.1388281149286028
2003-10-03,0.6690388020824712,0.11501784468770848
2003-10-04,0.6732773091868012,0.16585170833618224
2003-10-05,0.6768285955515596,0.12896714493683203
2003-10-06,0.6796988320067977,0.16232873134528047
2003-10-07,0.6818868256931477,0.17318419388985773
2003-10-08,0.6833848328333889,0.12386018056955006
2003-10-09,0.6842114111291543,0.09839596272647777
2003-10-10,0.6836177739003568,0.08884468955344293
2003-10-11,0.676295172950674,0.17442802788868905
2003-10-12,0.668068294363897,0.1580172669281591
2003-10-13,0.6592933490397581,0.11316911441404165
2003-10-14,0.6500293434370593,0.18040403659863924
2003-10-15,0.6398004834519796,0.1616474382927695
2003-10-16,0.6285071106866492,0.1975784506054069
2003-10-17,0.6160915656582308,0.18245781025742358
2003-10-18,0.60249817800947,0.2134424728807539
2003-10-19,0.58835787168911,0.18077371088546312
2003-10-20,0.5749168571371278,0.1642123292820803
2003-10-21,0.5615186190641256,0.2326829381078862
2003-10-22,0.5468332077967837,0.21838289108427877
2003-10-23,0.5310408123957342,0.2080883740234739
2003-10-24,0.5154026225237835,0.19329183268992778
2003-10-25,0.4997082788998858,0.22347890545930016
2003-10-26,0.48267036493765725,0.24486463816517112
2003-10-27,0.46416103554906074,0.2561276029810303
2003-10-28,0.44407654714742967,0.2805599101263038
2003-10-29,0.4248257548152937,0.22589778381651904
2003-10-30,0.40638192767115133,0.32839944000441434
2003-10-31,0.38601158207417635,0.3864508813796234
2003-11-01,0.3640586231453355,0.2881141884010246
2003-11-02,0.3406781836962527,0.3245380840810347
2003-11-03,0.3237451445836932,0.12263091309692659
2003-11-04,0.31797365339743716,0.02550402735031254
2003-11-05,0.31573610622548925,0.13933558894241532
2003-11-06,0.3144922224568003,0.0
2003-11-07,0.31461450485896525,0.08683409247068313
2003-11-08,0.3155540413155993,0.4192273263599664
2003-11-09,0.3183696191009475,0.5033681234474661
2003-11-10,0.3234144916944642,0.4461494259302407
2003-11-11,0.3303853021707113,0.48990316746315493
2003-11-12,0.33898108675922956,0.4436262870964025
2003-11-13,0.34891277441414104,0.45398442024515573
2003-11-14,0.3595199442998877,0.14772557579172568
2003-11-15,0.3703600827337339,0.505000757652936
2003-11-16,0.3819907519144036,0.516558455105026
2003-11-17,0.39472967821998717,0.4429500663884488
2003-11-18,0.40820661384515255,0.4294731307632834
2003-11-19,0.42213322284961735,0.4010537926133439
2003-11-20,0.436364208423559,0.41435899241580404
2003-11-21,0.45057788702240587,0.21898619949852383
2003-11-22,0.46426066483084716,0.22994106123738944
2003-11-23,0.4772552959425468,0.2372362509293544
2003-11-24,0.489846867821426,0.34348505804336743
2003-11-25,0.5023855156788272,0.33094641018596627
2003-11-26,0.5149754698091121,0.3183564560556813
2003-11-27,0.5275262761369339,0.29711001224057476
2003-11-28,0.5400157871814368,0.3324465073761381
2003-11-29,0.5524906150714372,0.30982676908430573
2003-11-30,0.5646810574093066,0.30198414549007857
2003-12-01,0.5760983069974365,0.3485378124838475
2003-12-02,0.5865420801497059,0.2308478436550655
2003-12-03,0.5960772690817173,0.11696500487563644
2003-12-04,0.6050147256903127,0.22541865434538588
2003-12-05,0.6138279149299308,0.261532925456739
2003-12-06,0.6228194422784123,0.2829761293137545
2003-12-07,0.6325610795614293,0.6283063560948668
2003-12-08,0.6437457097626206,0.48523789066985634
2003-12-09,0.6559157150336677,0.2643725857039738
2003-12-10,0.6677676682740384,0.3974479239183496
2003-12-11,0.6786347784469017,0.4358560928401004
2003-12-12,0.6884806814762668,0.2868799900141784
2003-12-13,0.697274287501015,0.3360573005713289
2003-12-14,0.7049867475376861,0.49066340696397415
2003-12-15,0.7115715440793642,0.2652384003256286
2003-12-16,0.7170454066647813,0.15686616080734128
2003-12-17,0.7216643210121484,0.05514596118529391
2003-12-18,0.7262914357497412,0.3997936188536406
2003-12-19,0.7318125304109862,0.2551423243958386
2003-12-20,0.7383201974514105,0.3573301259464744
2003-12-21,0.7458208564999514,0.4034525647361896
2003-12-22,0.7544061265731961,0.3760267467738283
2003-12-23,0.7635817231251674,0.14511239429609424
2003-12-24,0.7726544201100437,0.20270625138040155
2003-12-25,0.783234776081439,1.451544058150755
2003-12-26,0.7977888101594025,0.8022084875010006
2003-12-27,0.8152574241984655,0.5079287467833716
2003-12-28,0.8332710244100117,0.36237913009164857
2003-12-29,0.8510993311044566,0.48513029610830793
2003-12-30,0.868925604852722,0.49628948065099154
2003-12-31,0.8866176761552523,0.3713512136719489
2004-01-01,0.9033504707036861,1.0633128743372267
2004-01-02,0.9185351843349325,1.0205919753295778
2004-01-03,0.9319639656236607,0.6216565987712239
2004-01-04,0.9434837635823479,0.3869487719722269
2004-01-05,0.9530735540254294,0.30489533580177186
2004-01-06,0.9610473506387376,0.13170442693005247
2004-01-07,0.9679652666199839,0.19145306501798964
2004-01-08,0.9741051316747691,0.19400883745048914
2004-01-09,0.9794777145930293,0.17849134413039658
2004-01-10,0.9840867318448941,0.18837505602400617
2004-01-11,0.9879292144084505,0.2367063983841592
2004-01-12,0.9909914290934491,0.191615269177284
2004-01-13,0.9932537970177749,0.21254126788571737
2004-01-14,0.9946953187633647,0.20530265448193785
2004-01-15,0.995359750984903,0.09884129949843445
2004-01-16,0.9914473805000763,0.1723187698815396
2004-01-17,0.9827537815479935,0.1462298188844834
2004-01-18,0.9731356946263945,0.14425372248970247
2004-01-19,0.9626073398242054,0.1649269876937236
2004-01-20,0.9510496111990865,0.20402090169524478
